Journal du panier alt - top 15 par capitalisation, a chaque date
Une ligne par changement de composition.

2020-08-22  ada, algo, bch, bsv, cro, crv, dot, hedg, ht, link, ltc, neo, xlm, xrp, xtz
2020-08-24  ada, algo, bch, bsv, comp, cro, crv, dot, ht, link, ltc, neo, xlm, xrp, xtz
2020-09-11  ada, algo, bch, bsv, cro, crv, dot, ht, link, ltc, neo, uma, xlm, xrp, xtz
2020-09-16  ada, algo, bch, bsv, comp, cro, crv, dot, ht, link, ltc, neo, xlm, xrp, xtz
2020-09-17  ada, algo, bch, bsv, cro, crv, dot, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-09-18  ada, algo, bch, bsv, cro, crv, dot, ht, link, ltc, neo, uni, xlm, xrp, xtz
2020-09-21  ada, algo, bch, bsv, cro, dot, ht, link, ltc, neo, uni, xlm, xmr, xrp, xtz
2020-09-24  ada, algo, avaxp, bch, bsv, cro, dot, ht, link, ltc, neo, uni, xlm, xrp, xtz
2020-09-27  ada, algo, bch, bsv, cro, dot, ht, link, ltc, neo, uni, xlm, xmr, xrp, xtz
2020-12-03  ada, algo, bch, bsv, cro, dot, ht, link, ltc, uni, xem, xlm, xmr, xrp, xtz
2020-12-23  ada, algo, bch, bsv, cro, dot, ftt, ht, link, ltc, uni, xem, xlm, xmr, xrp
2020-12-24  ada, algo, bch, bsv, cro, dot, ht, link, ltc, uni, xem, xlm, xmr, xrp, xtz
2020-12-25  ada, algo, bch, bsv, cro, dot, ftt, ht, link, ltc, uni, xem, xlm, xmr, xrp
2020-12-26  1inch, ada, algo, bch, bsv, cro, dot, ht, link, ltc, uni, xem, xlm, xmr, xrp
2020-12-27  ada, algo, bch, bsv, cro, dot, ftt, ht, link, ltc, uni, xem, xlm, xmr, xrp
2020-12-31  1inch, ada, algo, bch, bsv, cro, dot, ftt, ht, link, ltc, uni, xlm, xmr, xrp
2021-01-01  ada, algo, bch, bsv, cro, dot, ftt, ht, link, ltc, uni, xem, xlm, xmr, xrp
2021-01-03  ada, algo, bch, bsv, cro, dot, ftt, ht, link, ltc, snx, uni, xlm, xmr, xrp
2021-01-09  ada, algo, avaxp, bch, bsv, cro, dot, ftt, ht, link, ltc, snx, uni, xlm, xrp
2021-01-10  ada, algo, bch, bsv, cro, dot, ftt, ht, link, ltc, snx, uni, xlm, xmr, xrp
2021-01-11  ada, algo, avaxp, bch, bsv, cro, dot, ftt, link, ltc, snx, uni, xlm, xmr, xrp
2021-01-16  aave, ada, algo, avaxp, bch, bsv, cro, dot, ftt, link, ltc, snx, uni, xlm, xrp
2021-01-17  1inch, ada, algo, avaxp, bch, bsv, cro, dot, ftt, link, ltc, snx, uni, xlm, xrp
2021-01-18  aave, ada, algo, avaxp, bch, bsv, cro, dot, ftt, link, ltc, snx, uni, xlm, xrp
2021-01-21  ada, algo, avaxp, bch, bsv, cro, dot, ftt, ht, link, ltc, snx, uni, xlm, xrp
2021-01-22  aave, ada, algo, avaxp, bch, bsv, cro, dot, ftt, link, ltc, snx, uni, xlm, xrp
2021-01-24  1inch, aave, ada, algo, avaxp, bch, cro, dot, ftt, link, ltc, snx, uni, xlm, xrp
2021-01-25  1inch, aave, ada, algo, avaxp, bch, bsv, cro, dot, link, ltc, snx, uni, xlm, xrp
2021-01-26  1inch, aave, ada, algo, avaxp, bch, cro, dot, lend, link, ltc, snx, uni, xlm, xrp
2021-01-28  1inch, aave, ada, algo, avaxp, bch, cro, doge, dot, ftt, link, ltc, uni, xlm, xrp
2021-01-30  1inch, aave, ada, algo, avaxp, bch, cro, dot, ftt, lend, link, ltc, uni, xlm, xrp
2021-01-31  1inch, aave, ada, algo, avaxp, bch, cro, doge, dot, lend, link, ltc, uni, xlm, xrp
2021-02-01  1inch, aave, ada, algo, avaxp, bch, cro, doge, dot, ftt, link, ltc, uni, xlm, xrp
2021-02-03  1inch, aave, ada, algo, avaxp, bch, cro, doge, dot, lend, link, ltc, uni, xlm, xrp
2021-02-09  1inch, aave, ada, algo, avaxp, bch, cro, doge, dot, ftt, link, ltc, uni, xlm, xrp
2021-02-17  1inch, aave, ada, algo, avaxp, bch, cro, dot, ftt, ht, link, ltc, uni, xlm, xrp
2021-02-18  1inch, ada, algo, avaxp, bch, cro, doge, dot, ftt, ht, link, ltc, uni, xlm, xrp
2021-02-20  1inch, aave, ada, algo, avaxp, bch, cro, dot, ftt, ht, link, ltc, uni, xlm, xrp
2021-02-21  1inch, ada, algo, avaxp, bch, cro, doge, dot, ftt, ht, link, ltc, uni, xlm, xrp
2021-02-23  aave, ada, algo, avaxp, bch, cro, doge, dot, ftt, ht, link, ltc, uni, xlm, xrp
2021-02-25  1inch, ada, algo, avaxp, bch, cro, doge, dot, ftt, ht, link, ltc, uni, xlm, xrp
2021-03-02  ada, algo, avaxp, bch, cro, doge, dot, ftt, ht, link, ltc, uni, xem, xlm, xrp
2021-03-07  aave, ada, algo, avaxp, bch, cro, doge, dot, ftt, ht, link, ltc, uni, xlm, xrp
2021-03-15  1inch, ada, algo, avaxp, bch, cro, doge, dot, ftt, ht, link, ltc, uni, xlm, xrp
2021-04-18  ada, algo, avaxp, bch, cro, doge, dot, ftt, ht, link, ltc, neo, uni, xlm, xrp
2021-05-05  ada, algo, avaxp, bch, cro, doge, dot, etc, ftt, ht, link, ltc, uni, xlm, xrp
2021-05-06  ada, algo, avaxp, bch, cro, doge, dot, etc, ftt, link, ltc, neo, uni, xlm, xrp
2021-05-07  ada, algo, avaxp, bch, cro, doge, dot, etc, ftt, ht, link, ltc, uni, xlm, xrp
2021-05-11  ada, algo, bch, cro, doge, dot, ftt, ht, icp, link, ltc, shib_eth, uni, xlm, xrp
2021-05-15  ada, bch, cro, doge, dot, ftt, ht, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2021-05-19  ada, algo, bch, cro, doge, dot, ftt, ht, icp, link, ltc, matic_eth, uni, xlm, xrp
2021-05-22  ada, algo, bch, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2021-05-25  ada, algo, bch, cro, doge, dot, etc, ftt, icp, link, ltc, matic_eth, uni, xlm, xrp
2021-05-31  ada, algo, bch, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2021-06-09  ada, algo, bch, cro, doge, dot, etc, ftt, icp, link, ltc, matic_eth, uni, xlm, xrp
2021-06-15  ada, algo, bch, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2021-07-27  ada, algo, bch, cro, doge, dot, etc, ftt, icp, link, ltc, matic_eth, uni, xlm, xrp
2021-08-09  ada, algo, bch, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2021-08-10  ada, algo, bch, cro, doge, dot, etc, ftt, icp, link, ltc, matic_eth, uni, xlm, xrp
2021-08-16  ada, algo, bch, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2021-08-17  ada, algo, bch, cro, doge, dot, etc, ftt, icp, link, ltc, matic_eth, uni, xlm, xrp
2021-08-18  ada, algo, avaxp, bch, cro, doge, dot, ftt, icp, link, ltc, matic_eth, uni, xlm, xrp
2021-10-04  ada, algo, avaxp, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-01-03  ada, algo, avaxp, cro, crv, doge, dot, ftt, icp, link, matic_eth, shib_eth, uni, xlm, xrp
2022-01-04  ada, algo, avaxp, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-05-11  ada, algo, avaxp, bch, cro, doge, dot, ftt, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-05-13  ada, algo, avaxp, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-05-27  ada, algo, avaxp, cro, doge, dot, ftt, ht, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-05-28  ada, algo, avaxp, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-05-29  ada, algo, avaxp, bch, cro, doge, dot, ftt, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-05-30  ada, algo, avaxp, cro, doge, dot, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-06-04  ada, algo, avaxp, bch, cro, doge, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-06-05  ada, algo, avaxp, cro, doge, ftt, ht, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-06-07  ada, algo, avaxp, cro, doge, ftt, ht, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-06-15  ada, algo, avaxp, cro, doge, ftt, icp, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-06-16  ada, algo, avaxp, cro, doge, ftt, ht, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-06-18  ada, algo, avaxp, cro, doge, ftt, icp, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-07-21  ada, algo, avaxp, cro, doge, etc, ftt, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-07-26  ada, avaxp, cro, doge, etc, ftt, icp, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-07-30  ada, algo, avaxp, cro, doge, etc, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-08-01  ada, avaxp, cro, doge, etc, ftt, icp, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-08-04  ada, algo, avaxp, cro, doge, etc, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-08-17  ada, avaxp, cro, doge, etc, ftt, icp, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-08-26  ada, algo, avaxp, cro, doge, etc, ftt, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-08-27  ada, avaxp, cro, doge, etc, ftt, icp, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-09-17  ada, algo, avaxp, cro, doge, etc, ftt, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-09-21  ada, algo, avaxp, cro, doge, etc, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-09-22  ada, algo, avaxp, cro, doge, etc, ftt, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-09-23  ada, algo, avaxp, cro, doge, etc, ftt, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xrp
2022-09-27  ada, algo, avaxp, cro, doge, etc, ftt, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-12  ada, avaxp, cro, doge, etc, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-13  ada, algo, avaxp, cro, doge, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-14  ada, avaxp, cro, doge, etc, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-15  ada, algo, avaxp, cro, doge, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-18  ada, avaxp, cro, doge, etc, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-20  ada, algo, avaxp, cro, doge, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-22  ada, avaxp, cro, doge, etc, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-24  ada, algo, avaxp, cro, doge, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-10-25  ada, avaxp, cro, doge, etc, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
